Code,Type,Definition
O3693X4,ICD-10-CM,"Maternal care for fetal problem, unspecified, third trimester, fetus 4"
O3693X5,ICD-10-CM,"Maternal care for fetal problem, unspecified, third trimester, fetus 5"
O3693X9,ICD-10-CM,"Maternal care for fetal problem, unspecified, third trimester, other fetus"
O401XX0,ICD-10-CM,"Polyhydramnios, first trimester, not applicable or unspecified"
O401XX1,ICD-10-CM,"Polyhydramnios, first trimester, fetus 1"
O401XX2,ICD-10-CM,"Polyhydramnios, first trimester, fetus 2"
O401XX3,ICD-10-CM,"Polyhydramnios, first trimester, fetus 3"
O401XX4,ICD-10-CM,"Polyhydramnios, first trimester, fetus 4"
O401XX5,ICD-10-CM,"Polyhydramnios, first trimester, fetus 5"
O401XX9,ICD-10-CM,"Polyhydramnios, first trimester, other fetus"
O402XX0,ICD-10-CM,"Polyhydramnios, second trimester, not applicable or unspecified"
O402XX1,ICD-10-CM,"Polyhydramnios, second trimester, fetus 1"
O402XX2,ICD-10-CM,"Polyhydramnios, second trimester, fetus 2"
O402XX3,ICD-10-CM,"Polyhydramnios, second trimester, fetus 3"
O402XX4,ICD-10-CM,"Polyhydramnios, second trimester, fetus 4"
O402XX5,ICD-10-CM,"Polyhydramnios, second trimester, fetus 5"
O402XX9,ICD-10-CM,"Polyhydramnios, second trimester, other fetus"
O403XX0,ICD-10-CM,"Polyhydramnios, third trimester, not applicable or unspecified"
O403XX1,ICD-10-CM,"Polyhydramnios, third trimester, fetus 1"
O403XX2,ICD-10-CM,"Polyhydramnios, third trimester, fetus 2"
O403XX3,ICD-10-CM,"Polyhydramnios, third trimester, fetus 3"
O403XX4,ICD-10-CM,"Polyhydramnios, third trimester, fetus 4"
O403XX5,ICD-10-CM,"Polyhydramnios, third trimester, fetus 5"
O403XX9,ICD-10-CM,"Polyhydramnios, third trimester, other fetus"
O409XX0,ICD-10-CM,"Polyhydramnios, unspecified trimester, not applicable or unspecified"
O409XX1,ICD-10-CM,"Polyhydramnios, unspecified trimester, fetus 1"
O409XX2,ICD-10-CM,"Polyhydramnios, unspecified trimester, fetus 2"
O409XX3,ICD-10-CM,"Polyhydramnios, unspecified trimester, fetus 3"
O409XX4,ICD-10-CM,"Polyhydramnios, unspecified trimester, fetus 4"
O409XX5,ICD-10-CM,"Polyhydramnios, unspecified trimester, fetus 5"
O409XX9,ICD-10-CM,"Polyhydramnios, unspecified trimester, other fetus"
O4100X0,ICD-10-CM,"Oligohydramnios, unspecified trimester, not applicable or unspecified"
O4100X1,ICD-10-CM,"Oligohydramnios, unspecified trimester, fetus 1"
O4100X2,ICD-10-CM,"Oligohydramnios, unspecified trimester, fetus 2"
O4100X3,ICD-10-CM,"Oligohydramnios, unspecified trimester, fetus 3"
O4100X4,ICD-10-CM,"Oligohydramnios, unspecified trimester, fetus 4"
O4100X5,ICD-10-CM,"Oligohydramnios, unspecified trimester, fetus 5"
O4100X9,ICD-10-CM,"Oligohydramnios, unspecified trimester, other fetus"
O4101X0,ICD-10-CM,"Oligohydramnios, first trimester, not applicable or unspecified"
O4101X1,ICD-10-CM,"Oligohydramnios, first trimester, fetus 1"
O4101X2,ICD-10-CM,"Oligohydramnios, first trimester, fetus 2"
O4101X3,ICD-10-CM,"Oligohydramnios, first trimester, fetus 3"
O4101X4,ICD-10-CM,"Oligohydramnios, first trimester, fetus 4"
O4101X5,ICD-10-CM,"Oligohydramnios, first trimester, fetus 5"
O4101X9,ICD-10-CM,"Oligohydramnios, first trimester, other fetus"
O4102X0,ICD-10-CM,"Oligohydramnios, second trimester, not applicable or unspecified"
O4102X1,ICD-10-CM,"Oligohydramnios, second trimester, fetus 1"
O4102X2,ICD-10-CM,"Oligohydramnios, second trimester, fetus 2"
O4102X3,ICD-10-CM,"Oligohydramnios, second trimester, fetus 3"
O4102X4,ICD-10-CM,"Oligohydramnios, second trimester, fetus 4"
O4102X5,ICD-10-CM,"Oligohydramnios, second trimester, fetus 5"
O4102X9,ICD-10-CM,"Oligohydramnios, second trimester, other fetus"
O4103X0,ICD-10-CM,"Oligohydramnios, third trimester, not applicable or unspecified"
O4103X1,ICD-10-CM,"Oligohydramnios, third trimester, fetus 1"
O4103X2,ICD-10-CM,"Oligohydramnios, third trimester, fetus 2"
O4103X3,ICD-10-CM,"Oligohydramnios, third trimester, fetus 3"
O4103X4,ICD-10-CM,"Oligohydramnios, third trimester, fetus 4"
O4103X5,ICD-10-CM,"Oligohydramnios, third trimester, fetus 5"
O4103X9,ICD-10-CM,"Oligohydramnios, third trimester, other fetus"
O411010,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, first trimester, not applicable or unspecified"
O411011,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 1"
O411012,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 2"
O411013,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 3"
O411014,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 4"
O411015,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 5"
O411019,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, first trimester, other fetus"
O411020,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, second trimester, not applicable or unspecified"
O411021,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 1"
O411022,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 2"
O411023,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 3"
O411024,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 4"
O411025,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 5"
O411029,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, second trimester, other fetus"
O411030,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, third trimester, not applicable or unspecified"
O411031,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 1"
O411032,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 2"
O411033,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 3"
O411034,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 4"
O411035,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 5"
O411039,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, third trimester, other fetus"
O411090,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, not applicable or unspecified"
O411091,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 1"
O411092,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 2"
O411093,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 3"
O411094,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 4"
O411095,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 5"
O411099,ICD-10-CM,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, other fetus"
O411210,ICD-10-CM,"Chorioamnionitis, first trimester, not applicable or unspecified"
O411211,ICD-10-CM,"Chorioamnionitis, first trimester, fetus 1"
O411212,ICD-10-CM,"Chorioamnionitis, first trimester, fetus 2"
O411213,ICD-10-CM,"Chorioamnionitis, first trimester, fetus 3"
O411214,ICD-10-CM,"Chorioamnionitis, first trimester, fetus 4"
O411215,ICD-10-CM,"Chorioamnionitis, first trimester, fetus 5"
O411219,ICD-10-CM,"Chorioamnionitis, first trimester, other fetus"
O411220,ICD-10-CM,"Chorioamnionitis, second trimester, not applicable or unspecified"
O411221,ICD-10-CM,"Chorioamnionitis, second trimester, fetus 1"
O411222,ICD-10-CM,"Chorioamnionitis, second trimester, fetus 2"
O411223,ICD-10-CM,"Chorioamnionitis, second trimester, fetus 3"
O411224,ICD-10-CM,"Chorioamnionitis, second trimester, fetus 4"
O411225,ICD-10-CM,"Chorioamnionitis, second trimester, fetus 5"
O411229,ICD-10-CM,"Chorioamnionitis, second trimester, other fetus"
O411230,ICD-10-CM,"Chorioamnionitis, third trimester, not applicable or unspecified"
O411231,ICD-10-CM,"Chorioamnionitis, third trimester, fetus 1"
O411232,ICD-10-CM,"Chorioamnionitis, third trimester, fetus 2"
O411233,ICD-10-CM,"Chorioamnionitis, third trimester, fetus 3"
O411234,ICD-10-CM,"Chorioamnionitis, third trimester, fetus 4"
O411235,ICD-10-CM,"Chorioamnionitis, third trimester, fetus 5"
O411239,ICD-10-CM,"Chorioamnionitis, third trimester, other fetus"
O411290,ICD-10-CM,"Chorioamnionitis, unspecified trimester, not applicable or unspecified"
O411291,ICD-10-CM,"Chorioamnionitis, unspecified trimester, fetus 1"
O411292,ICD-10-CM,"Chorioamnionitis, unspecified trimester, fetus 2"
O411293,ICD-10-CM,"Chorioamnionitis, unspecified trimester, fetus 3"
O411294,ICD-10-CM,"Chorioamnionitis, unspecified trimester, fetus 4"
O411295,ICD-10-CM,"Chorioamnionitis, unspecified trimester, fetus 5"
O411299,ICD-10-CM,"Chorioamnionitis, unspecified trimester, other fetus"
O411410,ICD-10-CM,"Placentitis, first trimester, not applicable or unspecified"
O411411,ICD-10-CM,"Placentitis, first trimester, fetus 1"
O411412,ICD-10-CM,"Placentitis, first trimester, fetus 2"
O411413,ICD-10-CM,"Placentitis, first trimester, fetus 3"
O411414,ICD-10-CM,"Placentitis, first trimester, fetus 4"
O411415,ICD-10-CM,"Placentitis, first trimester, fetus 5"
O411419,ICD-10-CM,"Placentitis, first trimester, other fetus"
O411420,ICD-10-CM,"Placentitis, second trimester, not applicable or unspecified"
O411421,ICD-10-CM,"Placentitis, second trimester, fetus 1"
O411422,ICD-10-CM,"Placentitis, second trimester, fetus 2"
O411423,ICD-10-CM,"Placentitis, second trimester, fetus 3"
O411424,ICD-10-CM,"Placentitis, second trimester, fetus 4"
O411425,ICD-10-CM,"Placentitis, second trimester, fetus 5"
O411429,ICD-10-CM,"Placentitis, second trimester, other fetus"
O411430,ICD-10-CM,"Placentitis, third trimester, not applicable or unspecified"
O411431,ICD-10-CM,"Placentitis, third trimester, fetus 1"
O411432,ICD-10-CM,"Placentitis, third trimester, fetus 2"
O411433,ICD-10-CM,"Placentitis, third trimester, fetus 3"
O411434,ICD-10-CM,"Placentitis, third trimester, fetus 4"
O411435,ICD-10-CM,"Placentitis, third trimester, fetus 5"
O411439,ICD-10-CM,"Placentitis, third trimester, other fetus"
O411490,ICD-10-CM,"Placentitis, unspecified trimester, not applicable or unspecified"
O411491,ICD-10-CM,"Placentitis, unspecified trimester, fetus 1"
O411492,ICD-10-CM,"Placentitis, unspecified trimester, fetus 2"
O411493,ICD-10-CM,"Placentitis, unspecified trimester, fetus 3"
O411494,ICD-10-CM,"Placentitis, unspecified trimester, fetus 4"
O411495,ICD-10-CM,"Placentitis, unspecified trimester, fetus 5"
O411499,ICD-10-CM,"Placentitis, unspecified trimester, other fetus"
O418X10,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, first trimester, not applicable or unspecified"
O418X11,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 1"
O418X12,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 2"
O418X13,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 3"
O418X14,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 4"
O418X15,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 5"
O418X19,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, first trimester, other fetus"
O418X20,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, second trimester, not applicable or unspecified"
O418X21,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 1"
O418X22,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 2"
O418X23,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 3"
O418X24,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 4"
O418X25,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 5"
O418X29,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, second trimester, other fetus"
O418X30,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, third trimester, not applicable or unspecified"
O418X31,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 1"
O418X32,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 2"
O418X33,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 3"
O418X34,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 4"
O418X35,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 5"
O418X39,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, third trimester, other fetus"
O418X90,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, not applicable or unspecified"
O418X91,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 1"
O418X92,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 2"
O418X93,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 3"
O418X94,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 4"
O418X95,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 5"
O418X99,ICD-10-CM,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, other fetus"
O4190X0,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, not applicable or unspecified"
O4190X1,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 1"
O4190X2,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 2"
O4190X3,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 3"
O4190X4,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 4"
O4190X5,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 5"
O4190X9,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, other fetus"
O4191X0,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, first trimester, not applicable or unspecified"
O4191X1,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 1"
O4191X2,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 2"
O4191X3,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 3"
O4191X4,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 4"
O4191X5,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 5"
O4191X9,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, first trimester, other fetus"
O4192X0,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, second trimester, not applicable or unspecified"
O4192X1,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 1"
O4192X2,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 2"
O4192X3,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 3"
O4192X4,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 4"
O4192X5,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 5"
O4192X9,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, second trimester, other fetus"
O4193X0,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, third trimester, not applicable or unspecified"
O4193X1,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 1"
O4193X2,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 2"
O4193X3,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 3"
O4193X4,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 4"
O4193X5,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 5"
O4193X9,ICD-10-CM,"Disorder of amniotic fluid and membranes, unspecified, third trimester, other fetus"
O4200,ICD-10-CM,"Premature rupture of membranes, onset of labor within 24 hours of rupture, unspecified weeks of gestation"
O42011,ICD-10-CM,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, first trimester"
O42012,ICD-10-CM,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, second trimester"
O42013,ICD-10-CM,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, third trimester"
O42019,ICD-10-CM,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, unspecified trimester"
O4202,ICD-10-CM,"Full-term premature rupture of membranes, onset of labor within 24 hours of rupture"
O4210,ICD-10-CM,"Premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified weeks of gestation"
O42111,ICD-10-CM,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, first trimester"
O42112,ICD-10-CM,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, second trimester"
O42113,ICD-10-CM,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, third trimester"
O42119,ICD-10-CM,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified trimester"
O4212,ICD-10-CM,"Full-term premature rupture of membranes, onset of labor more than 24 hours following rupture"
O4290,ICD-10-CM,"Premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified weeks of gestation"
O42911,ICD-10-CM,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, first trimester"
O42912,ICD-10-CM,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, second trimester"
O42913,ICD-10-CM,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, third trimester"
O42919,ICD-10-CM,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified trimester"
O4292,ICD-10-CM,"Full-term premature rupture of membranes, unspecified as to length of time between rupture and onset of labor"
O43011,ICD-10-CM,"Fetomaternal placental transfusion syndrome, first trimester"
O43012,ICD-10-CM,"Fetomaternal placental transfusion syndrome, second trimester"
O43013,ICD-10-CM,"Fetomaternal placental transfusion syndrome, third trimester"
O43019,ICD-10-CM,"Fetomaternal placental transfusion syndrome, unspecified trimester"
O43021,ICD-10-CM,"Fetus-to-fetus placental transfusion syndrome, first trimester"
O43022,ICD-10-CM,"Fetus-to-fetus placental transfusion syndrome, second trimester"
O43023,ICD-10-CM,"Fetus-to-fetus placental transfusion syndrome, third trimester"
O43029,ICD-10-CM,"Fetus-to-fetus placental transfusion syndrome, unspecified trimester"
O43101,ICD-10-CM,"Malformation of placenta, unspecified, first trimester"
O43102,ICD-10-CM,"Malformation of placenta, unspecified, second trimester"
O43103,ICD-10-CM,"Malformation of placenta, unspecified, third trimester"
O43109,ICD-10-CM,"Malformation of placenta, unspecified, unspecified trimester"
O43111,ICD-10-CM,"Circumvallate placenta, first trimester"
O43112,ICD-10-CM,"Circumvallate placenta, second trimester"
O43113,ICD-10-CM,"Circumvallate placenta, third trimester"
O43119,ICD-10-CM,"Circumvallate placenta, unspecified trimester"
O43121,ICD-10-CM,"Velamentous insertion of umbilical cord, first trimester"
O43122,ICD-10-CM,"Velamentous insertion of umbilical cord, second trimester"
O43123,ICD-10-CM,"Velamentous insertion of umbilical cord, third trimester"
O43129,ICD-10-CM,"Velamentous insertion of umbilical cord, unspecified trimester"
O43191,ICD-10-CM,"Other malformation of placenta, first trimester"
O43192,ICD-10-CM,"Other malformation of placenta, second trimester"
O43193,ICD-10-CM,"Other malformation of placenta, third trimester"
O43199,ICD-10-CM,"Other malformation of placenta, unspecified trimester"
O43211,ICD-10-CM,"Placenta accreta, first trimester"
O43212,ICD-10-CM,"Placenta accreta, second trimester"
O43213,ICD-10-CM,"Placenta accreta, third trimester"
O43219,ICD-10-CM,"Placenta accreta, unspecified trimester"
O43221,ICD-10-CM,"Placenta increta, first trimester"
O43222,ICD-10-CM,"Placenta increta, second trimester"
O43223,ICD-10-CM,"Placenta increta, third trimester"
O43229,ICD-10-CM,"Placenta increta, unspecified trimester"
O43231,ICD-10-CM,"Placenta percreta, first trimester"
O43232,ICD-10-CM,"Placenta percreta, second trimester"
O43233,ICD-10-CM,"Placenta percreta, third trimester"
O43239,ICD-10-CM,"Placenta percreta, unspecified trimester"
O43811,ICD-10-CM,"Placental infarction, first trimester"
O43812,ICD-10-CM,"Placental infarction, second trimester"
O43813,ICD-10-CM,"Placental infarction, third trimester"
O43819,ICD-10-CM,"Placental infarction, unspecified trimester"
O43891,ICD-10-CM,"Other placental disorders, first trimester"
O43892,ICD-10-CM,"Other placental disorders, second trimester"
O43893,ICD-10-CM,"Other placental disorders, third trimester"
O43899,ICD-10-CM,"Other placental disorders, unspecified trimester"
O4390,ICD-10-CM,"Unspecified placental disorder, unspecified trimester"
O4391,ICD-10-CM,"Unspecified placental disorder, first trimester"
O4392,ICD-10-CM,"Unspecified placental disorder, second trimester"
O4393,ICD-10-CM,"Unspecified placental disorder, third trimester"
O4400,ICD-10-CM,"Complete placenta previa NOS or without hemorrhage, unspecified trimester"
O4401,ICD-10-CM,"Complete placenta previa NOS or without hemorrhage, first trimester"
O4402,ICD-10-CM,"Complete placenta previa NOS or without hemorrhage, second trimester"
O4403,ICD-10-CM,"Complete placenta previa NOS or without hemorrhage, third trimester"
O4410,ICD-10-CM,"Complete placenta previa with hemorrhage, unspecified trimester"
O4411,ICD-10-CM,"Complete placenta previa with hemorrhage, first trimester"
O4412,ICD-10-CM,"Complete placenta previa with hemorrhage, second trimester"
O4413,ICD-10-CM,"Complete placenta previa with hemorrhage, third trimester"
O4420,ICD-10-CM,"Partial placenta previa NOS or without hemorrhage, unspecified trimester"
O4421,ICD-10-CM,"Partial placenta previa NOS or without hemorrhage, first trimester"
O4422,ICD-10-CM,"Partial placenta previa NOS or without hemorrhage, second trimester"
O4423,ICD-10-CM,"Partial placenta previa NOS or without hemorrhage, third trimester"
O4430,ICD-10-CM,"Partial placenta previa with hemorrhage, unspecified trimester"
O4431,ICD-10-CM,"Partial placenta previa with hemorrhage, first trimester"
O4432,ICD-10-CM,"Partial placenta previa with hemorrhage, second trimester"
O4433,ICD-10-CM,"Partial placenta previa with hemorrhage, third trimester"
O4440,ICD-10-CM,"Low lying placenta NOS or without hemorrhage, unspecified trimester"
O4441,ICD-10-CM,"Low lying placenta NOS or without hemorrhage, first trimester"
O4442,ICD-10-CM,"Low lying placenta NOS or without hemorrhage, second trimester"
O4443,ICD-10-CM,"Low lying placenta NOS or without hemorrhage, third trimester"
O4450,ICD-10-CM,"Low lying placenta with hemorrhage, unspecified trimester"
O4451,ICD-10-CM,"Low lying placenta with hemorrhage, first trimester"
O4452,ICD-10-CM,"Low lying placenta with hemorrhage, second trimester"
O4453,ICD-10-CM,"Low lying placenta with hemorrhage, third trimester"
O45001,ICD-10-CM,"Premature separation of placenta with coagulation defect, unspecified, first trimester"
O45002,ICD-10-CM,"Premature separation of placenta with coagulation defect, unspecified, second trimester"
O45003,ICD-10-CM,"Premature separation of placenta with coagulation defect, unspecified, third trimester"
O45009,ICD-10-CM,"Premature separation of placenta with coagulation defect, unspecified, unspecified trimester"
O45011,ICD-10-CM,"Premature separation of placenta with afibrinogenemia, first trimester"
O45012,ICD-10-CM,"Premature separation of placenta with afibrinogenemia, second trimester"
O45013,ICD-10-CM,"Premature separation of placenta with afibrinogenemia, third trimester"
O45019,ICD-10-CM,"Premature separation of placenta with afibrinogenemia, unspecified trimester"
O45021,ICD-10-CM,"Premature separation of placenta with disseminated intravascular coagulation, first trimester"
O45022,ICD-10-CM,"Premature separation of placenta with disseminated intravascular coagulation, second trimester"
O45023,ICD-10-CM,"Premature separation of placenta with disseminated intravascular coagulation, third trimester"
O45029,ICD-10-CM,"Premature separation of placenta with disseminated intravascular coagulation, unspecified trimester"
O45091,ICD-10-CM,"Premature separation of placenta with other coagulation defect, first trimester"
O45092,ICD-10-CM,"Premature separation of placenta with other coagulation defect, second trimester"
O45093,ICD-10-CM,"Premature separation of placenta with other coagulation defect, third trimester"
O45099,ICD-10-CM,"Premature separation of placenta with other coagulation defect, unspecified trimester"
O458X1,ICD-10-CM,"Other premature separation of placenta, first trimester"
O458X2,ICD-10-CM,"Other premature separation of placenta, second trimester"
O458X3,ICD-10-CM,"Other premature separation of placenta, third trimester"
O458X9,ICD-10-CM,"Other premature separation of placenta, unspecified trimester"
O4590,ICD-10-CM,"Premature separation of placenta, unspecified, unspecified trimester"
O4591,ICD-10-CM,"Premature separation of placenta, unspecified, first trimester"
O4592,ICD-10-CM,"Premature separation of placenta, unspecified, second trimester"
O4593,ICD-10-CM,"Premature separation of placenta, unspecified, third trimester"
O46001,ICD-10-CM,"Antepartum hemorrhage with coagulation defect, unspecified, first trimester"
O46002,ICD-10-CM,"Antepartum hemorrhage with coagulation defect, unspecified, second trimester"
O46003,ICD-10-CM,"Antepartum hemorrhage with coagulation defect, unspecified, third trimester"
O46009,ICD-10-CM,"Antepartum hemorrhage with coagulation defect, unspecified, unspecified trimester"
O46011,ICD-10-CM,"Antepartum hemorrhage with afibrinogenemia, first trimester"
O46012,ICD-10-CM,"Antepartum hemorrhage with afibrinogenemia, second trimester"
O46013,ICD-10-CM,"Antepartum hemorrhage with afibrinogenemia, third trimester"
O46019,ICD-10-CM,"Antepartum hemorrhage with afibrinogenemia, unspecified trimester"
O46021,ICD-10-CM,"Antepartum hemorrhage with disseminated intravascular coagulation, first trimester"
O46022,ICD-10-CM,"Antepartum hemorrhage with disseminated intravascular coagulation, second trimester"
O46023,ICD-10-CM,"Antepartum hemorrhage with disseminated intravascular coagulation, third trimester"
O46029,ICD-10-CM,"Antepartum hemorrhage with disseminated intravascular coagulation, unspecified trimester"
O46091,ICD-10-CM,"Antepartum hemorrhage with other coagulation defect, first trimester"
O46092,ICD-10-CM,"Antepartum hemorrhage with other coagulation defect, second trimester"
O46093,ICD-10-CM,"Antepartum hemorrhage with other coagulation defect, third trimester"
O46099,ICD-10-CM,"Antepartum hemorrhage with other coagulation defect, unspecified trimester"
O468X1,ICD-10-CM,"Other antepartum hemorrhage, first trimester"
O468X2,ICD-10-CM,"Other antepartum hemorrhage, second trimester"
O468X3,ICD-10-CM,"Other antepartum hemorrhage, third trimester"
O468X9,ICD-10-CM,"Other antepartum hemorrhage, unspecified trimester"
O4690,ICD-10-CM,"Antepartum hemorrhage, unspecified, unspecified trimester"
O4691,ICD-10-CM,"Antepartum hemorrhage, unspecified, first trimester"
O4692,ICD-10-CM,"Antepartum hemorrhage, unspecified, second trimester"
O4693,ICD-10-CM,"Antepartum hemorrhage, unspecified, third trimester"
O4700,ICD-10-CM,"False labor before 37 completed weeks of gestation, unspecified trimester"
O4702,ICD-10-CM,"False labor before 37 completed weeks of gestation, second trimester"
O4703,ICD-10-CM,"False labor before 37 completed weeks of gestation, third trimester"
O471,ICD-10-CM,False labor at or after 37 completed weeks of gestation
O479,ICD-10-CM,"False labor, unspecified"
O480,ICD-10-CM,Post-term pregnancy
O481,ICD-10-CM,Prolonged pregnancy
O6000,ICD-10-CM,"Preterm labor without delivery, unspecified trimester"
O6002,ICD-10-CM,"Preterm labor without delivery, second trimester"
O6003,ICD-10-CM,"Preterm labor without delivery, third trimester"
